time,op,req_t,host,time_ms
2024-07-03 13:26:07.609333,get,0.053406,21.1.celestial:8000,762906.333
2024-07-03 13:26:08.545193,put,0.02353,21.1.celestial:8000,763842.193
2024-07-03 13:26:08.580687,get,0.034201,21.1.celestial:8000,763877.687
2024-07-03 13:26:09.546698,put,0.02463,21.1.celestial:8000,764843.698
2024-07-03 13:26:09.570620,get,0.022801,21.1.celestial:8000,764867.62
2024-07-03 13:26:10.545186,put,0.022155,21.1.celestial:8000,765842.186
2024-07-03 13:26:10.572711,get,0.026454,21.1.celestial:8000,765869.711
2024-07-03 13:26:11.546804,put,0.023232,21.1.celestial:8000,766843.804
2024-07-03 13:26:11.580684,get,0.032676,21.1.celestial:8000,766877.684
2024-07-03 13:26:12.553556,put,0.029106,21.1.celestial:8000,767850.556
2024-07-03 13:26:12.590187,get,0.035528,21.1.celestial:8000,767887.187
2024-07-03 13:26:13.553161,put,0.027701,21.1.celestial:8000,768850.161
2024-07-03 13:26:13.575198,get,0.020963,21.1.celestial:8000,768872.198
2024-07-03 13:26:14.560726,put,0.035182,21.1.celestial:8000,769857.726
2024-07-03 13:26:14.595833,get,0.033503,21.1.celestial:8000,769892.833
2024-07-03 13:26:15.546142,put,0.019535,21.1.celestial:8000,770843.142
2024-07-03 13:26:15.567454,get,0.02019,21.1.celestial:8000,770864.454
2024-07-03 13:26:16.560373,put,0.032697,21.1.celestial:8000,771857.373
2024-07-03 13:26:16.583679,get,0.022189,21.1.celestial:8000,771880.679
2024-07-03 13:26:17.548737,put,0.020767,21.1.celestial:8000,772845.737
2024-07-03 13:26:17.570383,get,0.020529,21.1.celestial:8000,772867.383
2024-07-03 13:26:18.564393,put,0.035613,21.1.celestial:8000,773861.393
