t,ground_station,satellite,distance
1064,client-mccall,69,2716
1064,client-cobalt,69,2723
1064,client-may,1326,2729
1064,client-darby,69,2728
1064,client-bannack,1326,2725
1064,client-wisdom,69,2719
1065,client-shaniko,69,2220
1065,client-baker,69,2730
1065,client-prescott,69,2210
1065,client-twinfalls,1326,2708
1065,client-greatfalls,69,2716
1065,client-pocatello,1326,2728
1065,client-bozeman,69,3229
1065,client-everett,69,2196
1065,client-medford,1326,2211
1065,client-spokane,69,2220
1065,client-kimberly,69,2718
1065,client-yakima,69,2199
1065,client-centralia,69,2206
1065,client-cascade,69,2735
1065,client-salmon,69,2726
1065,client-burns,69,2730
1065,client-bend,69,2720
1065,client-kalispell,69,2204
1065,client-charlo,69,2215
1065,client-pullman,69,2206
1065,client-seneca,69,2730
1065,client-brownsville,69,2744
1065,client-yachats,1326,2214
1065,client-tillamook,69,2724
1065,client-maupin,69,2214
1065,client-boardman,69,2198
1065,client-kennewick,69,2198
1065,client-aberdeen,69,2196
1065,client-pollock,69,2722
1065,client-packwood,69,2227
1065,client-clarkia,69,2205
1065,client-malden,69,2212
1065,client-ritzville,69,2191
1065,client-odessa,69,2213
1065,client-quincy,69,2237
1065,client-roslyn,69,2214
1065,client-snoqualmie,69,2218
1065,client-baringoo,69,2201
1065,client-kalaloch,69,2192
1065,client-corvallis,69,2728
1065,client-molalla,69,2732
1065,client-campsherman,69,2714
1065,client-prineville,69,2726
1065,client-lagrande,69,2719
1065,client-mccall,69,2716
1065,client-cobalt,69,2723
1065,client-may,1326,2729
1065,client-darby,69,2728
1065,client-bannack,1326,2725
1065,client-wisdom,69,2719
1066,client-shaniko,69,2220
1066,client-baker,69,2730
1066,client-prescott,69,2210
1066,client-twinfalls,1326,2708
1066,client-greatfalls,69,2716
1066,client-pocatello,1326,2728
1066,client-bozeman,69,3229
1066,client-everett,69,2196
1066,client-medford,1326,2211
1066,client-spokane,69,2220
1066,client-kimberly,69,2718
1066,client-yakima,69,2199
1066,client-centralia,69,2206
1066,client-cascade,69,2735
1066,client-salmon,69,2726
1066,client-burns,69,2730
1066,client-bend,69,2720
1066,client-kalispell,69,2204
1066,client-charlo,69,2215
1066,client-pullman,69,2206
1066,client-seneca,69,2730
1066,client-brownsville,69,2744
1066,client-yachats,1326,2214
1066,client-tillamook,69,2724
1066,client-maupin,69,2214
1066,client-boardman,69,2198
1066,client-kennewick,69,2198
1066,client-aberdeen,69,2196
1066,client-pollock,69,2722
1066,client-packwood,69,2227
1066,client-clarkia,69,2205
1066,client-malden,69,2212
1066,client-ritzville,69,2191
1066,client-odessa,69,2213
1066,client-quincy,69,2237
1066,client-roslyn,69,2214
1066,client-snoqualmie,69,2218
1066,client-baringoo,69,2201
1066,client-kalaloch,69,2192
1066,client-corvallis,69,2728
1066,client-molalla,69,2732
1066,client-campsherman,69,2714
1066,client-prineville,69,2726
1066,client-lagrande,69,2719
1066,client-mccall,69,2716
1066,client-cobalt,69,2723
1066,client-may,1326,2729
1066,client-darby,69,2728
1066,client-bannack,1326,2725
1066,client-wisdom,69,2719
1067,client-shaniko,69,2220
1067,client-baker,69,2730
1067,client-prescott,69,2210
1067,client-twinfalls,1326,2204
1067,client-greatfalls,69,2716
1067,client-pocatello,1326,2728
1067,client-bozeman,69,3229
1067,client-everett,69,2196
1067,client-medford,1326,2211
1067,client-spokane,69,2220
1067,client-kimberly,69,2718
1067,client-yakima,69,2199
1067,client-centralia,69,2206
1067,client-cascade,69,2735
1067,client-salmon,69,2726
1067,client-burns,69,2730
1067,client-bend,69,2720
1067,client-kalispell,69,2204
1067,client-charlo,69,2215
1067,client-pullman,69,2206
1067,client-seneca,69,2730
1067,client-brownsville,69,2744
1067,client-yachats,1326,2214
1067,client-tillamook,69,2724
1067,client-maupin,69,2214
1067,client-boardman,69,2198
1067,client-kennewick,69,2198
1067,client-aberdeen,69,2196
1067,client-pollock,69,2722
1067,client-packwood,69,2227
1067,client-clarkia,69,2205
1067,client-malden,69,2212
1067,client-ritzville,69,2191
1067,client-odessa,69,2213
1067,client-quincy,69,2237
1067,client-roslyn,69,2214
1067,client-snoqualmie,69,2218
1067,client-baringoo,69,2201
1067,client-kalaloch,69,2192
1067,client-corvallis,69,2728
1067,client-molalla,69,2732
1067,client-campsherman,69,2714
1067,client-prineville,69,2726
1067,client-lagrande,69,2719
1067,client-mccall,69,2716
1067,client-cobalt,69,2723
1067,client-may,1326,2729
1067,client-darby,69,2728
1067,client-bannack,1326,2725
1067,client-wisdom,69,2719
1068,client-shaniko,69,2220
1068,client-baker,69,2730
1068,client-prescott,69,2210
1068,client-twinfalls,1326,2204
1068,client-greatfalls,69,2716
1068,client-pocatello,1326,2728
1068,client-bozeman,69,3229
1068,client-everett,69,2196
1068,client-medford,1326,2211
1068,client-spokane,69,2220
1068,client-kimberly,69,2718
1068,client-yakima,69,2199
1068,client-centralia,69,2206
1068,client-cascade,69,2735
1068,client-salmon,69,2726
1068,client-burns,69,2730
1068,client-bend,69,2720
1068,client-kalispell,69,2204
1068,client-charlo,69,2215
1068,client-pullman,69,2206
1068,client-seneca,69,2730
1068,client-brownsville,69,2744
1068,client-yachats,1326,2214
1068,client-tillamook,69,2724
1068,client-maupin,69,2214
1068,client-boardman,69,2198
1068,client-kennewick,69,2198
1068,client-aberdeen,69,2196
1068,client-pollock,69,2722
1068,client-packwood,69,2227
